symbol,latest_form,prev_form,filing_date,prev_date,edge_score,edge_label,drift_alert,similarity,sentiment_drift,horizon_days,forward_return_pct,hit_directional,hit_abs_gt_0,signal_direction,top_signal_types,edge_summary
AMZN,10-K,10-Q,2026-02-06,2025-10-31,4.49,Neutral filing drift,True,0.2785324937805674,-0.10664327745106045,252,0.15,True,True,positive,"risk_rising,opportunity_emerging,opportunity_emerging",risk_factors language became more cautious/risk-heavy. mda tone/opportunity signals improved.
AMZN,10-Q,10-Q,2025-10-31,2025-08-01,0.0,Neutral filing drift,False,1.0000000000000002,0.0,30,-8.88,,False,neutral,,Narrative remains broadly consistent with prior filing.
AMZN,10-Q,10-Q,2025-10-31,2025-08-01,0.0,Neutral filing drift,False,1.0000000000000002,0.0,90,-13.75,,False,neutral,,Narrative remains broadly consistent with prior filing.
AMZN,10-Q,10-Q,2025-10-31,2025-08-01,0.0,Neutral filing drift,False,1.0000000000000002,0.0,252,-13.75,,False,neutral,,Narrative remains broadly consistent with prior filing.
AMZN,10-Q,10-Q,2025-08-01,2025-05-02,0.24,Neutral filing drift,False,1.0000000000000002,0.0,30,7.77,,True,neutral,,Narrative remains broadly consistent with prior filing.
AMZN,10-Q,10-Q,2025-08-01,2025-05-02,0.24,Neutral filing drift,False,1.0000000000000002,0.0,90,6.13,,True,neutral,,Narrative remains broadly consistent with prior filing.
AMZN,10-Q,10-Q,2025-08-01,2025-05-02,0.24,Neutral filing drift,False,1.0000000000000002,0.0,252,-1.91,,False,neutral,,Narrative remains broadly consistent with prior filing.
AMZN,10-Q,10-K,2025-05-02,2025-02-07,-4.36,Neutral filing drift,True,0.2782294019783406,0.09889547538115556,30,13.75,False,True,negative,risk_rising,mda language became more cautious/risk-heavy. risk_factors tone/opportunity signals improved.
AMZN,10-Q,10-K,2025-05-02,2025-02-07,-4.36,Neutral filing drift,True,0.2782294019783406,0.09889547538115556,90,21.04,False,True,negative,risk_rising,mda language became more cautious/risk-heavy. risk_factors tone/opportunity signals improved.
AMZN,10-Q,10-K,2025-05-02,2025-02-07,-4.36,Neutral filing drift,True,0.2782294019783406,0.09889547538115556,252,10.87,False,True,negative,risk_rising,mda language became more cautious/risk-heavy. risk_factors tone/opportunity signals improved.
META,10-K,10-Q,2026-01-29,2025-10-30,5.74,Neutral filing drift,False,0.9979717503633544,0.0029486793841973467,30,-11.46,False,False,positive,opportunity_emerging,mda tone/opportunity signals improved.
META,10-K,10-Q,2026-01-29,2025-10-30,5.74,Neutral filing drift,False,0.9979717503633544,0.0029486793841973467,90,-11.46,False,False,positive,opportunity_emerging,mda tone/opportunity signals improved.
